CIE-10	Enfermedad	MF	MG	MF o MG	Atencion_primaria	Especialistas	Especialista_1	A1	A2	A3	A4	A5	Especialista_1_Total_k	Especialista_2	B1	B2	B3	B4	B5	Especialista_2_Total_k	Especialista_3	C1	C2	C3	C4	C5	Especialista_3_Total_k	Especialista_4	D1	D2	D3	D4	D5	Especialista_4_Total_k	Especialista_5	E1	E2	E3	E4	E5	Especialista_5_Total_k	Totales	Grupo Etario
F84.0	AUTISMO EN LA NINEZ	1	0	0	1	4	PSIQUIATRIA	3	0	0	0	0	3	NEUROLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
F84.1	AUTISMO ATIPICO	0	0	0	0	5	PSIQUIATRIA	3	0	0	0	0	3	PEDIATRIA	1	0	0	0	0	1	NEUROLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0	5	A
F84.5	SINDROME DE ASPERGER	1	0	0	1	4	PSIQUIATRIA	3	0	0	0	0	3	NEUROLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
F84.8	OTROS TRASTORNOS GENERALIZADOS DEL DESARROLLO	0	0	0	0	5	MEDICINA FISICA Y REHABILITACION	1	0	0	0	0	1	PEDIATRIA	3	0	0	0	0	3	PSIQUIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0	5	A
F84.9	TRASTORNO GENERALIZADO DEL DESARROLLO NO ESPECIFICADO	0	0	0	0	5	PSIQUIATRIA	2	0	0	0	0	2	PEDIATRIA	3	0	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
H10.0	CONJUNTIVITIS MUCOPURULENTA	1	0	0	1	4	OFTALMOLOGIA	0	2	0	0	0	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
H10.1	CONJUNTIVITIS ATOPICA AGUDA	2	0	0	2	3	OFTALMOLOGIA	1	2	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
H10.2	OTRAS CONJUNTIVITIS AGUDAS	4	0	0	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
H10.3	CONJUNTIVITIS AGUDA NO ESPECIFICADA	4	0	0	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
H10.4	CONJUNTIVITIS CRONICA	0	0	0	0	5	OFTALMOLOGIA	0	4	1	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
H10.5	BLEFAROCONJUNTIVITIS	1	0	0	1	4	OFTALMOLOGIA	1	3	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
H10.8	OTRAS CONJUNTIVITIS	3	0	0	3	2	OFTALMOLOGIA	0	1	0	0	0	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
H10.9	CONJUNTIVITIS NO ESPECIFICADA	3	0	0	3	2	OFTALMOLOGIA	0	1	0	0	0	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J00	RINOFARINGITIS AGUDA [RESFRIADO COMUN]	3	1	0	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J02.0	FARINGITIS ESTREPTOCOCICA	3	0	0	3	2	OTORRINOLARINGOLOGIA	0	0	1	0	0	1	PEDIATRIA	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J02.8	FARINGITIS AGUDA DEBIDA A OTROS MICROORGANISMOS ESPECIFICADOS	4	0	0	4	1	OTORRINOLARINGOLOGIA	0	0	1	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J02.9	FARINGITIS AGUDA NO ESPECIFICADA	3	0	1	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J04.0	LARINGITIS AGUDA	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J04.1	TRAQUEITIS AGUDA	2	0	0	2	3	PEDIATRIA	3	0	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J04.2	LARINGOTRAQUEITIS AGUDA	2	0	0	2	3	PEDIATRIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J06.0	LARINGOFARINGITIS AGUDA	4	0	0	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J06.8	OTRAS INFECCIONES AGUDAS DE SITIOS MULTIPLES DE LAS VIAS RESPIRATORIAS SUPERIORES	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J06.9	INFECCION AGUDA DE LAS VIAS RESPIRATORIAS SUPERIORES NO ESPECIFICADA	4	0	0	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J20.1	BRONQUITIS AGUDA DEBIDA A HAEMOPHILUS INFLUENZAE	2	0	0	2	3	PEDIATRIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J20.2	BRONQUITIS AGUDA DEBIDA A ESTREPTOCOCOS	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J20.4	BRONQUITIS AGUDA DEBIDA A VIRUS PARAINFLUENZA	2	0	0	2	3	PEDIATRIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J20.6	BRONQUITIS AGUDA DEBIDA A RINOVIRUS	4	0	0	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J20.8	BRONQUITIS AGUDA DEBIDA A OTROS MICROORGANISMOS ESPECIFICADOS	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J20.9	BRONQUITIS AGUDA NO ESPECIFICADA	3	0	0	3	2	PEDIATRIA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J21.0	BRONQUIOLITIS AGUDA DEBIDA A VIRUS SINCITIAL RESPIRATORIO	2	0	0	2	3	PEDIATRIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J21.8	BRONQUIOLITIS AGUDA DEBIDA A OTROS MICROORGANISMOS ESPECIFICADOS	2	0	0	2	3	PEDIATRIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J21.9	BRONQUIOLITIS AGUDA NO ESPECIFICADA	2	0	0	2	3	PEDIATRIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J30.0	RINITIS VASOMOTORA	3	0	0	3	2	PEDIATRIA	1	0	1	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J30.1	RINITIS ALERGICA DEBIDA AL POLEN	2	0	0	2	3	OTORRINOLARINGOLOGIA	0	1	0	0	0	1	PEDIATRIA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J30.2	OTRA RINITIS ALERGICA ESTACIONAL	4	0	0	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J30.3	OTRAS RINITIS ALERGICAS	1	0	0	1	4	PEDIATRIA	0	2	0	0	0	2	OTORRINOLARINGOLOGIA	0	0	1	0	1	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J30.4	RINITIS ALERGICA NO ESPECIFICADA	4	0	0	4	1	OTORRINOLARINGOLOGIA	0	0	0	0	1	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J44.0	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON INFECCION AGUDA DE LAS VIAS RESPIRATORIAS INFERIORES	0	0	0	0	5	NEUMOLOGIA	2	0	0	0	0	2	PEDIATRIA	3	0	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J44.1	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA CON EXACERBACION AGUDA NO ESPECIFICADA	0	0	0	0	5	NEUMOLOGIA	3	0	0	0	0	3	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J44.8	OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRONICAS ESPECIFICADAS	0	0	0	0	5	NEUMOLOGIA	1	1	0	0	0	2	PEDIATRIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J44.9	ENFERMEDAD PULMONAR OBSTRUCTIVA CRONICA NO ESPECIFICADA	0	0	0	0	5	NEUMOLOGIA	2	1	0	0	0	3	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J45.0	ASMA PREDOMINANTEMENTE ALERGICA	2	0	0	2	3	NEUMOLOGIA	0	0	1	0	0	1	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J45.1	ASMA NO ALERGICA	1	0	0	1	4	PEDIATRIA	2	0	1	0	0	3	NEUMOLOGIA	0	0	1	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J45.8	ASMA MIXTA	1	0	0	1	4	NEUMOLOGIA	0	2	0	0	0	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J45.9	ASMA NO ESPECIFICADO	2	0	0	2	3	NEUMOLOGIA	0	0	0	0	1	1	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J98.0	ENFERMEDADES DE LA TRAQUEA Y DE LOS BRONQUIOS NO CLASIFICADAS EN OTRA PARTE	2	0	0	2	3	PEDIATRIA	1	1	0	0	0	2	NEUMOLOGIA	0	0	1	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J98.6	TRASTORNOS DEL DIAFRAGMA	0	0	0	0	5	PEDIATRIA	2	0	0	0	0	2	CIRUGIA PEDIATRICA	1	1	0	0	0	2	CIRUGIA VASCULAR	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J98.8	OTROS TRASTORNOS RESPIRATORIOS ESPECIFICADOS	1	0	0	1	4	PEDIATRIA	1	1	1	0	0	3	NEUMOLOGIA	0	0	1	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
J98.9	TRASTORNO RESPIRATORIO NO ESPECIFICADO	2	0	0	2	3	NEUMOLOGIA	0	1	0	0	0	1	PEDIATRIA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
K59.0	CONSTIPACION	2	0	0	2	3	GASTROENTEROLOGIA	0	0	2	0	0	2	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
K59.1	DIARREA FUNCIONAL	2	0	0	2	3	PEDIATRIA	1	0	1	0	0	2	GASTROENTEROLOGIA	0	0	1	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
K59.3	MEGACOLON NO CLASIFICADO EN OTRA PARTE	0	0	0	0	5	GASTROENTEROLOGIA	3	1	0	0	0	4	OTORRINOLARINGOLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
K59.8	OTROS TRASTORNOS FUNCIONALES ESPECIFICADOS DEL INTESTINO	1	0	0	1	4	GASTROENTEROLOGIA	0	2	0	0	0	2	PEDIATRIA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
K59.9	TRASTORNO FUNCIONAL INTESTINAL NO ESPECIFICADO	1	0	0	1	4	PEDIATRIA	1	1	0	0	0	2	GASTROENTEROLOGIA	0	1	1	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L20.0	PRURIGO DE BESNIER	1	0	0	1	4	PEDIATRIA	1	2	0	0	0	3	DERMATOLOGIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L20.8	OTRAS DERMATITIS ATOPICAS	2	0	0	2	3	DERMATOLOGIA	0	1	1	0	0	2	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L20.9	DERMATITIS ATOPICA NO ESPECIFICADA	1	0	0	1	4	DERMATOLOGIA	0	1	1	0	0	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L30.0	DERMATITIS NUMULAR	0	0	0	0	5	DERMATOLOGIA	1	4	0	0	0	5		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L30.1	DISHIDROSIS [PONFOLIX]	0	0	0	0	5	DERMATOLOGIA	2	1	0	0	0	3	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L30.3	DERMATITIS INFECCIOSA	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L30.4	ERITEMA INTERTRIGO	1	0	0	1	4	DERMATOLOGIA	0	2	0	0	0	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L30.5	PITIRIASIS ALBA	2	0	0	2	3	DERMATOLOGIA	0	0	0	1	0	1	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L30.8	OTRAS DERMATITIS ESPECIFICADAS	2	0	0	2	3	DERMATOLOGIA	0	0	0	1	0	1	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
L30.9	DERMATITIS NO ESPECIFICADA	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
N39.0	INFECCION DE VIAS URINARIAS SITIO NO ESPECIFICADO	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
N39.1	PROTEINURIA PERSISTENTE NO ESPECIFICADA	0	0	0	0	5	PEDIATRIA	2	0	0	0	0	2	NEFROLOGIA	1	2	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
N39.8	OTROS TRASTORNOS ESPECIFICADOS DEL SISTEMA URINARIO	0	0	0	0	5	PEDIATRIA	3	1	0	0	0	4	UROLOGIA GENERAL	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
N39.9	TRASTORNO DEL SISTEMA URINARIO NO ESPECIFICADO	0	0	0	0	5	PEDIATRIA	3	1	0	0	0	4	UROLOGIA GENERAL	0	1	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Q65.0	LUXACION CONGENITA DE LA CADERA UNILATERAL	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	3	0	0	0	0	3	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Q65.1	LUXACION CONGENITA DE LA CADERA BILATERAL	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	3	0	0	0	0	3	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Q65.2	LUXACION CONGENITA DE LA CADERA NO ESPECIFICADA	1	0	0	1	4	ORTOPEDIA Y TRAUMATOLOGIA	3	0	0	0	0	3	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Q65.3	SUBLUXACION CONGENITA DE LA CADERA UNILATERAL	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	4	0	0	0	0	4	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Q65.4	SUBLUXACION CONGENITA DE LA CADERA BILATERAL	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	4	0	0	0	0	4	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Q65.5	SUBLUXACION CONGENITA DE LA CADERA NO ESPECIFICADA	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	4	0	0	0	0	4	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Q65.6	CADERA INESTABLE	1	0	0	1	4	ORTOPEDIA Y TRAUMATOLOGIA	3	0	0	0	0	3	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Q65.8	OTRAS DEFORMIDADES CONGENITAS DE LA CADERA	1	0	0	1	4	ORTOPEDIA Y TRAUMATOLOGIA	3	1	0	0	0	4		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Q65.9	DEFORMIDAD CONGENITA DE LA CADERA NO ESPECIFICADA	0	0	0	0	5	ORTOPEDIA Y TRAUMATOLOGIA	2	1	0	0	0	3	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
R11	NAUSEA Y VOMITO	4	0	0	4	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
R50.8	OTRAS FIEBRES ESPECIFICADAS	2	0	0	2	3	PEDIATRIA	2	1	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
R50.9	FIEBRE NO ESPECIFICADA	3	0	0	3	2	PEDIATRIA	1	1	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Z00.1	CONTROL DE SALUD DE RUTINA DEL NINO	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Z00.2	EXAMEN DURANTE EL PERIODO DE CRECIMIENTO RAPIDO EN LA INFANCIA	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Z00.3	EXAMEN DEL ESTADO DE DESARROLLO DEL ADOLESCENTE	2	0	1	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Z00.4	EXAMEN PSIQUIATRICO GENERAL NO CLASIFICADO EN OTRA PARTE	1	0	0	1	4	PSIQUIATRIA	3	0	0	0	0	3	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Z13.0	EXAMEN DE PESQUISA ESPECIAL PARA ENFERMEDADES DE LA SANGRE Y ORGANOS HEMATOPOYETICOS Y CIERTOS TRASTORNOS DEL MECANISMO DE LA INMUNIDAD	1	0	0	1	4	PEDIATRIA	0	1	0	0	0	1	HEMATOLOGIA CLINICA	3	0	0	0	0	3		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Z13.2	EXAMEN DE PESQUISA ESPECIAL PARA TRASTORNOS DE LA NUTRICION	3	0	0	3	2	PEDIATRIA	2	0	0	0	0	2		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0		0	0	0	0	0	0	5	A
Z13.3	EXAMEN DE PESQUISA ESPECIAL PARA TRASTORNOS MENTALES Y DEL COMPORTAMIENTO	1	0	0	1	4	PSIQUIATRIA	2	0	0	0	0	2	OTORRINOLARINGOLOGIA	1	0	0	0	0	1	PEDIATRIA	1	0	0	0	0	1		0	0	0	0	0	0		0	0	0	0	0	0	5	A
